"Designator","Mid X","Mid Y","Layer","Rotation"
"R12","223.896mm","-60.6465mm","top","0.0"
"R11","223.896mm","-58.6145mm","top","0.0"
"R10","223.896mm","-57.081mm","top","0.0"
"R9","213.211mm","-71.9733mm","top","0.0"
"R8","213.211mm","-70.4308mm","top","0.0"
"R7","151.986mm","-119.882mm","top","180.0"
"R4","136.013mm","-119.057mm","top","180.0"
"R6","151.986mm","-117.85mm","top","180.0"
"R3","136.013mm","-120.65mm","top","180.0"
"R5","151.986mm","-115.804mm","top","180.0"
"R2","136.048mm","-117.088mm","top","180.0"
"R1","136.048mm","-115.056mm","top","180.0"
"J2","138.62mm","-58.547mm","top","180.0"
"U12","163.662mm","-77.6585mm","top","0.0"
"U16","168.249mm","-141.18mm","top","180.0"
"U10","164.17mm","-57.275mm","top","0.0"
"U9","203.731mm","-141.321mm","top","0.0"
"U8","201.516mm","-57.335mm","top","0.0"
"U7","224.114mm","-141.286mm","top","0.0"
"FB3","140.6525mm","-97.663mm","top","180.0"
"FB2","136.9568mm","-82.4992mm","top","180.0"
"FB1","142.3416mm","-69.4944mm","top","180.0"
"U15","179.66mm","-141.2mm","top","0.0"
"Q2","190.65mm","-147.4mm","top","180.0"
"Q1","190.65mm","-134.85mm","top","180.0"
"U14","144.15mm","-141.2mm","top","0.0"
"U13","158.082mm","-141.2mm","top","0.0"
"U6","225.472mm","-108.364mm","top","90.0"
"U3","150.504mm","-63.455mm","top","90.0"
"C50","137.668mm","-147.7mm","top","0.0"
"C46","150.9mm","-147.7mm","top","0.0"
"C49","137.7mm","-134.85mm","top","0.0"
"C45","151.55mm","-134.9mm","top","0.0"
"C15","136.97mm","-66.1615mm","top","90.0"
"C14","144.754mm","-63.3675mm","top","270.0"
